"gutenberg_id","medium","language","title","sort_title","audience","subjects__audience","subjects__identifier","subjects__type","authors__family_name","authors__viaf","authors__display_name","authors__lc","authors__sort_name","authors__wikipedia_name","quality","work_id","subjects__name","fiction","subjects__fiction"
"","","","","","","","Bible","LCSH","","","","","","","","","Bible","",""
"11","Book","en","Alice's Adventures in Wonderland","null","Adult","Adult","Fantasy","gutenberg:bookshelf","","66462036","Lewis Carroll","n79056546","Carroll, Lewis","","0.825","1e8fcdda-686d-d1e3-5d5a-a7f9b97dd1f6","","True","True"
"","","","","","","Children","Children's Literature","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","","Fantasy","LCSH","","","","","","","","","Fantasy","",""
"","","","","","","Adult","PR","LCC","","","","","","","","","English literature","","True"
"","","","","","","Children","PZ","LCC","","","","","","","","","Fiction and juvenile belles lettres","","True"
"12","Book","en","Through the Looking-Glass","null","Adult","Adult","Fantasy","gutenberg:bookshelf","","66462036","Lewis Carroll","n79056546","Carroll, Lewis","","0.55","bae5c83d-90b7-805c-59ad-7cb43d64bca6","","True","True"
"","","","","","","Adult","Best Books Ever Listings","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Children","Children's Literature","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Children","PZ","LCC","","","","","","","","","Fiction and juvenile belles lettres","","True"
"","","","","","","Adult","PR","LCC","","","","","","","","","English literature","","True"
"","","","","","","","Fantasy","LCSH","","","","","","","","","Fantasy","",""
"13","Book","en","The Hunting of the Snark: An Agony in Eight Fits","null","Adult","Children","Children's Literature","gutenberg:bookshelf","","66462036","Lewis Carroll","n79056546","Carroll, Lewis","","0.83","ddd0462f-0842-8f5a-54b8-8279a3489f08","","True",""
"","","","","","","","Nonsense verses, English","LCSH","","","","","","","","","Nonsense verses, English","",""
"","","","","","","Adult","PR","LCC","","","","","","","","","English literature","","True"
"14","Book","en","The 1990 CIA World Factbook","1990 CIA World Factbook, The","Adult","Adult","Politics","gutenberg:bookshelf","","","United States. Central Intelligence Agency","","United States. Central Intelligence Agency","","0.4","4c86ef69-283a-a707-22d6-403bd4e27ac1","","",""
"","","","","","","Adult","CIA World Factbooks","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Adult","G","LCC","","","","","","","","","GEOGRAPHY.  ANTHROPOLOGY.  RECREATION","",""
"","","","","","","","Political science -- Handbooks, manuals, etc.","LCSH","","","","","","","","","","",""
"","","","","","","","World politics -- Handbooks, manuals, etc.","LCSH","","","","","","","","","","",""
"","","","","","","","Political statistics -- Handbooks, manuals, etc.","LCSH","","","","","","","","","","",""
"","","","","","","","Geography -- Handbooks, manuals, etc.","LCSH","","","","","","","","","","",""
"15","Book","en","Moby Dick","null","Adult","Adult","Adventure","gutenberg:bookshelf","","27068555","Herman Melville","n79006936","Melville, Herman","","0.99","26e7125d-7ed8-c330-692c-675030bf6692","","True","True"
"","","","","","","Adult","Best Books Ever Listings","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","","Psychological fiction","LCSH","","","","","","","","","Psychological fiction","","True"
"","","","","","","","Ahab, Captain (Fictitious character) -- Fiction","LCSH","","","","","","","","","","","True"
"","","","","","","Adult","PS","LCC","","","","","","","","","American literature","","True"
"","","","","","","","Whales -- Fiction","LCSH","","","","","","","","","","","True"
"","","","","","","","Whaling -- Fiction","LCSH","","","","","","","","","","","True"
"","","","","","","","Ship captains -- Fiction","LCSH","","","","","","","","","","","True"
"","","","","","","","Adventure stories","LCSH","","","","","","","","","Adventure stories","","True"
"","","","","","","","Whaling ships -- Fiction","LCSH","","","","","","","","","","","True"
"","","","","","","","Mentally ill -- Fiction","LCSH","","","","","","","","","","","True"
"","","","","","","","Sea stories","LCSH","","","","","","","","","Sea stories","","True"
"16","Book","en","Peter Pan","null","Adult","Adult","Fantasy","gutenberg:bookshelf","Barrie","64001320","J. M. Barrie","n50000555","Barrie, J. M. (James Matthew)","J._M._Barrie","0.89","ebf09b6f-3c2b-ea95-d21c-cc3453131754","","True","True"
"","","","","","","Adult","Movie Books","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Adult","Pirates, Buccaneers, Corsairs, etc.","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Children","Children's Literature","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Children","Fairies -- Juvenile fiction","LCSH","","","","","","","","","","","True"
"","","","","","","Children","Pirates -- Juvenile fiction","LCSH","","","","","","","","","","","True"
"","","","","","","","Peter Pan (Fictitious character) -- Fiction","LCSH","","","","","","","","","","","True"
"","","","","","","","Fantasy","LCSH","","","","","","","","","Fantasy","",""
"","","","","","","Children","PZ","LCC","","","","","","","","","Fiction and juvenile belles lettres","","True"
"","","","","","","","Never-Never Land (Imaginary place) -- Fiction","LCSH","","","","","","","","","","","True"
"","","","","","","Adult","PR","LCC","","","","","","","","","English literature","","True"
"17","Book","en","The Book of Mormon","Book of Mormon, The","Adult","Adult","Christianity","gutenberg:bookshelf","Smith","24609983","Joseph Smith","n79006976","Smith, Joseph, Jr.","Joseph_Smith","0.79","cb1f7f5e-5928-427b-0e0b-9e8b9d6da2e6","","",""
"","","","","","","","Mormon Church -- Sacred books","LCSH","","","Church of Jesus Christ of Latter-day Saints","","Church of Jesus Christ of Latter-day Saints","","","","","",""
"","","","","","","","Church of Jesus Christ of Latter-day Saints -- Sacred books","LCSH","","","","","","","","","","",""
"","","","","","","Adult","BX","LCC","","","","","","","","","Christian Denominations","",""
"18","Book","en","The Federalist Papers","null","Adult","Adult","Politics","gutenberg:bookshelf","","59096754","James Madison","n80067022","Madison, James","","0.525","c92f08d4-94e2-05ac-d79f-8a0c828e2725","","",""
"","","","","","","Adult","United States","gutenberg:bookshelf","Jay","49254995","John Jay","n79088877","Jay, John","John_Jay","","","","",""
"","","","","","","Adult","United States Law","gutenberg:bookshelf","","66496514","Alexander Hamilton","n79021633","Hamilton, Alexander","","","","","",""
"","","","","","","","Constitutional law -- United States","LCSH","","","","","","","","","","",""
"","","","","","","Adult","KF","LCC","","","","","","","","","Law of the United States","",""
"","","","","","","","Constitutional history -- United States -- Sources","LCSH","","","","","","","","","","",""
"","","","","","","Adult","JK","LCC","","","","","","","","","Political institutions and public administration","",""
"19","Book","en","The Song of Hiawatha","null","Children","Children","Children's Verse","gutenberg:bookshelf","Longfellow","54150826","Henry Wadsworth Longfellow","n79056429","Longfellow, Henry Wadsworth","Henry_Wadsworth_Longfellow","0.69","240dd881-57a6-4c2f-8913-529916efac11","","True",""
"","","","","","","Adult","Native America","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Adult","Poetry","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Children","Children's Literature","gutenberg:bookshelf","","","","","","","","","","",""
